id,key,value,type
169832039,highway,residential,regular
169832039,surface,unpaved,regular
169832728,lit,yes,regular
169832728,lanes,2,regular
169832728,oneway,no,regular
169832728,highway,service,regular
169832728,surface,asphalt,regular
169834192,lit,yes,regular
169834192,lanes,2,regular
169834192,width,10,regular
169834192,oneway,no,regular
169834192,highway,residential,regular
169834192,surface,paved,regular
169834192,smoothness,good,regular
169834944,building,public,regular
169834944,street,Masaki,addr
169834944,levels,1,building
169834944,material,cement_block,building
169836357,access,private,regular
169836357,leisure,swimming_pool,regular
169837875,name,Sea Cliff Village,regular
169837875,shop,mall,regular
169837875,type,indoor,regular
169837875,building,commercial,regular
169837875,street,Sea Ciff Street,addr
169837875,levels,1,building
169837875,website,http://www.hotelseacliff.com/sea-cliff-village,contact
169837875,material,cement_block,building
169840544,barrier,wall,regular
169846605,highway,service,regular
169846605,surface,asphalt,regular
171759278,highway,residential,regular
172251139,building,residential,regular
172251139,street,Alykhan Street,addr
172251139,levels,3,building
172251139,material,cement_block,building
172251164,highway,residential,regular
172251185,highway,service,regular
173585088,highway,residential,regular
173587350,highway,residential,regular
176654331,name,NSSF Building,regular
176654331,building,commercial,regular
176654331,street,Bandarini Street,addr
176654331,levels,6,building
176654331,material,cement_block,building
176828573,office,government,regular
176828573,building,public,regular
176828573,street,Sokoine Street,addr
176828573,levels,1,building
176828573,material,cement_block,building
176940952,building,yes,regular
177294166,landuse,meadow,regular
178133803,name,Tanzania Bureau of Standards,regular
178133803,office,government,regular
178135559,highway,residential,regular
178204698,highway,residential,regular
178204698,surface,sand,regular
178206813,highway,residential,regular
178206813,surface,sand,regular
178208980,highway,residential,regular
178208980,surface,sand,regular
178216128,highway,unclassified,regular
178216128,surface,sand,regular
178224628,layer,1,regular
178224628,bridge,yes,regular
178224628,highway,tertiary,regular
178224628,surface,sand,regular
178446952,landuse,forest,regular
178524636,highway,residential,regular
178524636,surface,unpaved,regular
178534986,highway,residential,regular
178534986,surface,sand,regular
178538729,highway,residential,regular
178538729,surface,sand,regular
178540406,highway,residential,regular
178540406,surface,sand,regular
178541767,highway,residential,regular
178541767,surface,sand,regular
178545791,highway,residential,regular
178545791,surface,sand,regular
178666870,landuse,forest,regular
179745912,highway,residential,regular
179745912,smoothness,intermediate,regular
179745912,surface,unpaved,regular
179745912,width,5,regular
179758430,street,bonde La Mpunga,addr
179758430,building,residential,regular
179758430,levels,1,building
179758430,material,cement_block,building
179760568,highway,residential,regular
179760568,surface,sand,regular
179778200,highway,residential,regular
179782913,highway,residential,regular
179782913,surface,sand,regular
180245789,building,commercial;residential,regular
180245789,street,Garden Avenue,addr
180245789,levels,1,building
180245789,material,cement_block,building
180552356,highway,service,regular
180610287,highway,residential,regular
180786213,building,yes,regular
180786883,building,residential,regular
180786883,street,Makunganya Street,addr
180786883,levels,4,building
180786883,material,cement_block,building
180788673,name,NHC House,regular
180788673,building,commercial,regular
180788673,street,Samora Avenue,addr
180788673,levels,12,building
180788673,material,glass,building
180789390,building,yes,regular
180790958,highway,service,regular
180790958,service,parking_aisle,regular
180791056,building,hospital,regular
180791056,street,Njaro,addr
180791056,levels,1,building
180791056,material,cement_block,building
181402425,highway,footway,regular
182450377,highway,residential,regular
182450377,name,Kyala Road,regular
182450377,surface,unpaved,regular
182494752,landuse,forest,regular
190395143,highway,primary,regular
190395143,old_ref,B2,regular
190395143,ref,T7,regular
190395143,surface,paved,regular
192773510,building,yes,regular
204386091,power,line,regular
204386091,cables,6,regular
212016921,power,line,regular
239986440,name,Jesus Village,regular
239986440,building,yes,regular
243154778,highway,residential,regular
243786231,name,Utumishi House,regular
243786231,building,yes,regular
243986940,highway,residential,regular
243995881,covered,no,regular
243995881,depth,1,regular
243995881,waterway,stream,regular
243995881,width,2,regular
245228572,highway,residential,regular
256828576,railway,rail,regular
261218403,waterway,drain,regular
262190587,layer,-1,regular
262190587,covered,yes,regular
262190587,blockage,rubbish,regular
262190587,diameter,-1,regular
262190587,waterway,drain,regular
275664811,name,Cate Hotel,regular
275664811,building,commercial,regular
275664811,street,Donge Street,addr
275664811,levels,9,building
275664811,material,cement_block,building
277610407,highway,residential,regular
277614666,highway,residential,regular
